phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
20500,Ever suffered mental distress preventing usual activities,both_sexes,0.047,0.0044,0.0791,0.0074,26.21,1.02,0.0069,0.1665 (0.0463),1.14,1.15,33.19,244667,116527,38681.0,77846.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20500,"Question asked: ""In your life, have you suffered from a period of mental distress that prevented you from doing your usual activities?"""
4570,Friendships satisfaction,both_sexes,0.0469,0.0048,0.0469,0.0048,22.12,1.02,0.0073,0.1102 (0.0507),1.12,1.14,,242545,118649,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4570,"ACE touchscreen question ""In general how satisfied are you with your FRIENDSHIPS?"""
20488,Physically abused by family as a child,both_sexes,0.0468,0.0046,0.0468,0.0046,23.89,1.02,0.0072,0.1131 (0.0508),1.14,1.14,,243356,117838,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488,"Question asked: ""When I was growing up... People in my family hit me so hard that it left me with bruises or marks"""
4440,Average monthly spirits intake,both_sexes,0.0465,0.0146,0.0465,0.0146,3.14,0.99,0.0058,0,1.03,1.02,,335001,26193,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4440,"ACE touchscreen question ""In an average MONTH, how many measures of spirits or liqueurs would you drink? (there are 25 standard measures in a normal sized bottle; spirits include drinks such as whisky, gin, rum, vodka, brandy)"" The following checks were performed: If answer If answer > 250 then rejected If answer > 10 then participant asked to confirm ~F4440~ was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answers to ~F1558~"
20420_irnt,Longest period spent worried or anxious,both_sexes,0.0463,0.0151,0.0463,0.0151,2.97,1.0,0.0059,0,1.03,1.03,,336456,24738,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20420,"Question asked: ""What is the longest period of time that this kind of worrying has ever continued?"" Question was asked when ~F20421~ was Yes."
1930,Miserableness,both_sexes,0.0462,0.0034,0.0734,0.0054,41.63,1.07,0.0105,0.1559 (0.0229),1.35,1.46,42.73,6012,355182,151752.0,203430.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1930,"ACE touchscreen question ""Do you ever feel 'just miserable' for no reason?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
2316,Wheeze or whistling in the chest in last year,both_sexes,0.0457,0.0027,0.0916,0.0055,63.84,1.08,0.0098,0.1718 (0.0216),1.35,1.45,20.82,6671,354523,73828.0,280695.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2316,"ACE touchscreen question ""In the last year have you ever had wheeze or whistling in the chest?"""
6033_irnt,Maximum heart rate during fitness test,both_sexes,0.0456,0.0102,0.0456,0.0102,5.41,1.03,0.0069,0.3313 (0.0718),1.09,1.1,,307210,53984,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6033,"This is the maximum heart rate recorded during bike exercise test. The Bike Test consists of three phases: A Pre-Test phase, where a resting ECG is recorded for some time; an Activity phase, where the participant cycles for a set period of time with increasing cycling workload; and finally a Recovery phase, where the participant has stopped pedalling and an ECG is recorded. Heart rate is recorded in all stages and this field gives the maximum of those values."
20425,Ever worried more than most people would in similar situation,both_sexes,0.0453,0.0055,0.083,0.0101,16.05,1.02,0.0068,0.1693 (0.0549),1.12,1.12,25.88,262204,98990,25623.0,73367.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20425,"Question asked: ""People differ a lot in how much they worry about things. Did you ever have a time when you worried a lot more than most people would in your situation?"""
2080,Frequency of tiredness / lethargy in last 2 weeks,both_sexes,0.0452,0.0026,0.0452,0.0026,67.27,1.07,0.0092,0.1546 (0.0215),1.34,1.43,,10614,350580,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2080,"ACE touchscreen question ""Over the past two weeks, how often have you felt tired or had little energy?"" If the participant activated the Help button they were shown the message: Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know. "
1100,Drive faster than motorway speed limit,both_sexes,0.0452,0.0025,0.0452,0.0025,72.64,1.07,0.0093,0.1791 (0.0228),1.33,1.41,,34002,327192,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1100,"ACE touchscreen question ""How often do you drive faster than the speed limit on the motorway?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. At the time of asking (2006) the UK motorway speed limit was 70miles/hour."
20446,Ever had prolonged feelings of sadness or depression,both_sexes,0.0452,0.0041,0.0713,0.0064,27.84,1.01,0.0059,0.084 (0.0442),1.12,1.13,54.66,243431,117763,64374.0,53389.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20446,"Question asked: ""Have you ever had a time in your life when you felt sad, blue, or depressed for two weeks or more in a row?"""
1210,Snoring,both_sexes,0.045,0.0025,0.0735,0.0041,72.01,1.08,0.0091,0.1788 (0.0217),1.34,1.42,37.36,24874,336320,125656.0,210664.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1210,"ACE touchscreen question ""Does your partner or a close relative or friend complain about your snoring?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. "
20519,Recent feelings of tiredness or low energy,both_sexes,0.0447,0.0048,0.0447,0.0048,20.2,1.02,0.0071,0.1547 (0.0466),1.13,1.15,,243366,117828,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20519,"Question asked: ""Over the last 2 weeks, how often have you been bothered by any of the following problems? [depressive symptoms] Feeling tired or having little energy"""
5105_irnt,6mm strong meridian angle (left),both_sexes,0.0445,0.0089,0.0445,0.0089,6.54,1.02,0.0071,0.239 (0.0731),1.09,1.1,,295643,65551,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5105,This is the strong meridian angle of keratometry results taken at 6mm for the left eye (blank indicates no cylinder power)
3849,Number of pregnancy terminations,female,0.0444,0.0077,0.0444,0.0077,8.39,1.02,0.0067,0.2085 (0.0867),1.08,1.08,,134075,60099,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3849,"ACE touchscreen question ""How many terminations? (enter 0 if none)"" The following checks were performed: If answer If answer > 35 then rejected If answer > 11 then participant asked to confirm ~F3849~ was collected from women who indicated that they had had a stillbirth, spontaneous miscarriage or termination, as defined by their answers to ~F2774~"
1990,Tense / 'highly strung',both_sexes,0.0443,0.0029,0.0968,0.0063,52.26,1.04,0.0094,0.0973 (0.0234),1.31,1.4,17.28,11035,350159,60513.0,289646.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1990,"ACE touchscreen question ""Would you call yourself tense or 'highly strung'?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
1747_5,"Hair colour (natural, before greying): Black",both_sexes,0.0441,0.0102,0.2143,0.0496,5.11,1.06,0.01,0.1593 (0.0246),1.14,1.4,4.39,924,360270,15809.0,344461.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747,"ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)"" If the participant activated the Help button they were shown the message: If you are unsure, please select the colour closest to your natural adult hair colour or select Do not know. "
20126_0,Bipolar and major depression status: No Bipolar or Depression,both_sexes,0.0441,0.0057,0.0787,0.0101,14.29,1.02,0.0064,0.1744 (0.0584),1.11,1.11,72.3,274299,86895,62825.0,24070.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20126,"Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab."
20460,Belief that own life is meaningful,both_sexes,0.0439,0.0044,0.0439,0.0044,23.02,1.04,0.0068,0.2588 (0.0436),1.15,1.16,,245842,115352,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20460,"Question asked: ""To what extent do you feel your life to be meaningful?"""
5110_irnt,6mm asymmetry angle (left),both_sexes,0.0436,0.0108,0.0436,0.0108,4.57,1.03,0.0065,0.4072 (0.0861),1.06,1.08,,320511,40683,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5110,This is the asymmetric angle of keratometry results taken at 6mm for the left eye (blank indicates no asymmetry)
4803_0,"Tinnitus: No, never",both_sexes,0.0433,0.0042,0.0761,0.0074,24.5,1.02,0.0069,0.1461 (0.0479),1.13,1.14,70.93,243312,117882,83615.0,34267.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4803,"ACE touchscreen question ""Do you get or have you had noises (such as ringing or buzzing) in your head or in one or both ears that lasts for more than five minutes at a time?"" ~F4803~ was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~"
20458,General happiness,both_sexes,0.043,0.0049,0.043,0.0049,18.07,1.03,0.0073,0.2131 (0.0476),1.14,1.15,,243752,117442,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20458,"Question asked: ""In general how happy are you?"""
20502,Ever had period extreme irritability,both_sexes,0.0429,0.0043,0.0784,0.0078,23.02,1.02,0.006999999999999999,0.1519 (0.0519),1.12,1.13,26.0,246772,114422,29747.0,84675.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20502,"Question asked: ""Have you ever had a period of time when you were so irritable that you found yourself shouting at people or starting fights or arguments?"""
5106_irnt,6mm strong meridian angle (right),both_sexes,0.0429,0.0071,0.0429,0.0071,9.12,1.02,0.0065,0.2232 (0.0708),1.08,1.09,,294938,66256,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5106,This is the strong meridian angle of keratometry results taken at 6mm for the right eye (blank indicates no cylinder power)
1568,Average weekly red wine intake,both_sexes,0.0426,0.0027,0.0426,0.0027,55.66,1.03,0.0078,0.1148 (0.028),1.23,1.28,,103421,257773,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1568,"ACE touchscreen question ""In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)"" The following checks were performed: If answer If answer > 250 then rejected If answer > 100 then participant asked to confirm If the participant activated the Help button they were shown the message: Please include sparkling red wine here. ~F1568~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"
20546_3,Substances taken for depression: Medication prescribed to you (for at least two weeks),both_sexes,0.0425,0.0044,0.0802,0.0084,21.65,1.01,0.0069,0.0995 (0.0544),1.12,1.13,24.07,243431,117763,28351.0,89412.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20546,"Question asked: ""Did you ever try the following for these problems? (tick all that apply)"" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
5507,Leg pain on walking : action taken,both_sexes,0.0424,0.0154,0.0424,0.0154,2.53,1.01,0.0058,0.2117 (0.171),1.03,1.03,,335625,25569,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5507,"ACE touchscreen question ""What do you do if you get pain when you are walking?"" ~F5507~ was collected from participants who indicated that they get a pain in either leg on walking, as defined by their answers to ~F4728~"
30060_irnt,Mean corpuscular haemoglobin concentration,both_sexes,0.0424,0.0047,0.0424,0.0047,19.03,1.08,0.0104,0.1923 (0.025),1.21,1.42,,10726,350468,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30060,"Result of ""Mean Corpuscular Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100."
2040,Risk taking,both_sexes,0.0423,0.0025,0.0774,0.0045,63.8,1.05,0.0093,0.1342 (0.024),1.32,1.39,25.96,12645,348549,90500.0,258049.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2040,"ACE touchscreen question ""Would you describe yourself as someone who takes risks?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
20421,"Ever felt worried, tense, or anxious for most of a month or longer",both_sexes,0.0423,0.0043,0.0767,0.0078,22.41,1.01,0.0063,0.0596 (0.0545),1.1,1.12,26.61,250879,110315,29351.0,80964.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20421,"Question asked: ""Have you ever had a period lasting one month or longer when most of the time you felt worried, tense, or anxious?"""
1110,Length of mobile phone use,both_sexes,0.0423,0.0026,0.0423,0.0026,59.09,1.06,0.009000000000000001,0.1516 (0.0223),1.33,1.4,,4576,356618,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1110,"ACE touchscreen question ""For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?"" If the participant activated the Help button they were shown the message: Do not include time spent text messaging. If you are unsure, please provide an estimate or select Do not know. "
5109_irnt,6mm asymmetry angle (right),both_sexes,0.0422,0.0092,0.0422,0.0092,5.65,1.01,0.0067,0.1777 (0.1302),1.05,1.05,,319804,41390,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5109,This is the asymmetric angle of keratometry results taken at 6mm for the right eye (blank indicates no asymmetry)
6032_irnt,Maximum workload during fitness test,both_sexes,0.042,0.008,0.042,0.008,7.12,1.02,0.0059,0.2807 (0.0756),1.08,1.08,,307196,53998,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6032,"Maximum workload attained during the fitness test The Bike Test consists of three phases, a Pre-Test phase, where a resting ECG is recorded for some time. An Activity phase, where the participant cycles for a set period of time with increasing cycling workload, and finally a Recovery phase, where the participant has stopped pedalling and an ECG is recorded."
